C:\Users\USER\AppData\Local\Programs\Python\Python39\python.exe "D:/GameDev-Programming/Python/Solo Projects 3/brute force zip file open/threaded version.py"
(1): Starting...
(1): Started
(1): number of letters: 1
(1): number of letters: 2
(1): number of letters: 3
(1): number of letters: 4
(1): END
         55291252 function calls (55290680 primitive calls) in 62.142 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.261    0.261   62.142   62.142 D:\GameDev-Programming\Python\Solo Projects 3\brute force zip file open\threaded version.py:67(brute_force)
    33648    0.120    0.000   61.619    0.002 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2087(extractall)
    67296    0.539    0.000   61.455    0.001 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2123(_extract_member)
    33648    0.060    0.000   56.386    0.002 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1966(open)
    33648    0.137    0.000   56.318    0.002 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:2015(_open_to_read)
    33648    0.160    0.000   56.103    0.002 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1166(__init__)
    33648    0.036    0.000   54.840    0.002 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1205(read_init)
    33648    0.070    0.000   54.804    0.002 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile.py:1303(get_decrypter)
    33648    0.197    0.000   54.719    0.002 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\pyzipper\zipfile_aes.py:44(__init__)
    33648    0.675    0.000   54.434    0.002 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Protocol\KDF.py:98(PBKDF2)
   134592    0.106    0.000   35.421    0.000 C:\Users\USER\AppData\Local\Programs\Python\Python39\lib\site-packages\Cryptodome\Hash\HMAC.py:105(_pbkdf2_hmac_assist)
